Label,Dense Inference DTC,Dense Inference NV-STC,Dense Inference DS-STC,Dense Inference RM-STC,Sparse Inference DTC,Sparse Inference NV-STC,Sparse Inference DS-STC,Sparse Inference RM-STC,Dense Training DTC,Dense Training NV-STC,Dense Training DS-STC,Dense Training RM-STC,Sparse Training DTC,Sparse Training NV-STC,Sparse Training DS-STC,Sparse Training RM-STC,Dense Inference RM-STC+, Sparse Inference RM-STC+,Dense Training RM-STC+,Sparse Training RM-STC+
bert-mha1,7173397495.317806,7173397495.317806,11170846378.855225,8190077075.346784,7173397495.317806,4560380769.870268,8223159968.496703,4739382753.261749,21362717775.099533,21362717775.099533,26579006803.822327,19318751304.758224,21362717775.099533,18749701049.651993,23905329220.618584,13733818995.141273,,,,,14458550641.83517,10259314643.182854,8190077075.346784,4739382753.261749
bert-mha2,2391132498.439268,2391132498.439268,3723615459.6184077,2730025691.7822614,2391132498.439268,1520126923.290089,2741053350.7391977,1579794251.0872495,7156781105.879597,7156781105.879597,9121253330.511694,6599138290.409712,7156781105.879597,6285775530.730417,8138691221.632484,4699390451.72504,,,,,4990081260.788423,3552232155.9450006,2730025691.7822614,1579794251.0872495
bert-ffn1,9564529993.757072,9564529993.757072,14894461838.47363,10920102767.129045,9564529993.757072,6080507693.160356,10964213265.91543,6319177004.348998,28465686109.709496,28465686109.709496,36321314882.222275,26232511210.438988,28465686109.709496,24981663809.112778,32391066309.664074,18633518291.83602,,,22546173869.90339,17388664801.67462,19875194710.890457,14123796952.533012,10920102767.129045,6319177004.348998
bert-ffn2,9490137230.094229,9490137230.094229,14820192476.245392,10845713890.085154,9490137230.094229,6006114929.49751,10888782032.982552,6243626227.109267,28465686109.709496,28465686109.709496,36323406249.09666,26234393488.75625,28465686109.709496,24981663809.112778,32391995805.833817,18634239075.659966,,,22470347801.54774,17312839154.0152,19773556561.798927,14020997240.52774,10845713890.085154,6243626227.109267
resnet50-2-3,28534270369.612198,28534270369.612198,28332998119.34646,22048851786.14865,28534270369.612198,19274819289.7793,26794707306.312675,16027146760.919868,80880082935.86876,80880082935.86876,105525039819.68613,79674396105.74414,80880082935.86876,71620631856.03586,100435035933.25612,63136800569.37505,,,,,72020148042.57916,51373205064.41069,22048851786.14865,16027146760.919868
resnet50-3-3,26917788192.21074,26917788192.21074,26688853177.5593,20414266780.52613,26917788192.21074,17656612059.823597,23677890325.51087,13303257587.576096,80282208207.86671,80282208207.86671,101720622150.27516,76688886275.48746,80282208207.86671,71021032075.47958,94785810817.50017,58529297885.77866,,,,,66318012728.190865,45136165000.275375,20414266780.52613,13303257587.576096
resnet50-4-3,26122241246.23964,26122241246.23964,25879515473.317673,19609772598.895386,26122241246.23964,16854164903.635544,24324934599.650604,13562591628.509106,78111759766.65826,78111759766.65826,101998379575.66003,76539582470.21564,78111759766.65826,68843683424.05417,96508934244.6573,59209801611.98732,,,,,67298071153.72884,48903428102.60225,19609772598.895386,13562591628.509106
resnet50-5-3,25250798006.992607,25250798006.992607,20196025436.107998,14465057494.899324,25250798006.992607,16144077477.85362,20580328910.6362,10765234412.927414,75549744484.09447,75549744484.09447,98920742253.19403,71990862673.74745,75549744484.09447,66443023954.955475,95472133410.36234,57852529159.014786,,,,,66475920564.51557,49575120096.71071,14465057494.899324,10765234412.927414
resnet50-2-2,57721672030.33061,57721672030.33061,62713655907.40391,47651789697.03212,57721672030.33061,36887907100.70659,53676708740.86516,29463573205.0859,173302395477.56464,173302395477.56464,229209631915.36304,171974657745.4456,173302395477.56464,152468630547.9406,221663552569.17493,140056753203.64258,,,,,145063100036.22,117663938373.65176,47651789697.03212,29463573205.0859
resnet50-3-2,57324805281.825745,57324805281.825745,51225622121.344124,37750706813.81903,57324805281.825745,36487158983.95468,43379309736.5014,21530132325.716934,180087390198.88007,180087390198.88007,228262992036.8966,170779110730.27478,180087390198.88007,159249743901.00903,222651260080.61728,136890813762.78671,,,,,150477294211.36612,110906386520.12657,37750706813.81903,21530132325.716934
resnet50-4-2,57154933728.71498,57154933728.71498,51051764989.55528,37578016311.99025,57154933728.71498,36301761957.85576,43188842006.75693,21340031623.881706,175477670340.5711,175477670340.5711,223635841382.41663,166131319036.20233,175477670340.5711,154624498569.71185,221292377657.18277,134901342634.1902,,,,,147130854357.75543,115505602078.40271,37578016311.99025,21340031623.881706
resnet50-5-2,57184245236.72629,57184245236.72629,45555148655.226135,32394562895.271626,57184245236.72629,36268971573.91443,39867963513.20496,18626829603.989197,173384698198.29077,173384698198.29077,216010662595.37836,158808070122.10617,173384698198.29077,152469424535.4789,215842588283.44397,130047450038.31186,,,,,135721508849.57224,106017989206.95116,32394562895.271626,18626829603.989197
